state,country,confirmed,deaths,date,month,year,population,confirmed_1d,deaths_1d,confirmed_moving_avg_7d,deaths_moving_avg_7d,confirmed_moving_avg_7d_rate_14,deaths_moving_avg_7d_rate_14,confirmed_trend,deaths_trend
Acre,Brazil,41689,796,2021-01-01,2021-01,2021,881935,,,,,,,,
Acre,Brazil,41941,798,2021-01-02,2021-01,2021,881935,252,2,,,,,,
Acre,Brazil,42046,802,2021-01-03,2021-01,2021,881935,105,4,,,,,,
Acre,Brazil,42117,806,2021-01-04,2021-01,2021,881935,71,4,,,,,,
Acre,Brazil,42170,808,2021-01-05,2021-01,2021,881935,53,2,,,,,,
Acre,Brazil,42378,814,2021-01-06,2021-01,2021,881935,208,6,,,,,,
Acre,Brazil,42478,821,2021-01-07,2021-01,2021,881935,100,7,,,,,,
Acre,Brazil,42814,823,2021-01-08,2021-01,2021,881935,336,2,161,4,,,,
Acre,Brazil,42908,823,2021-01-09,2021-01,2021,881935,94,0,139,4,,,,
Acre,Brazil,43127,825,2021-01-10,2021-01,2021,881935,219,2,155,4,,,,
Acre,Brazil,43346,826,2021-01-11,2021-01,2021,881935,219,1,176,3,,,,
Acre,Brazil,43432,827,2021-01-12,2021-01,2021,881935,86,1,181,3,,,,
Acre,Brazil,43785,829,2021-01-13,2021-01,2021,881935,353,2,201,3,,,,
Acre,Brazil,44068,832,2021-01-14,2021-01,2021,881935,283,3,228,2,,,,
Acre,Brazil,44156,835,2021-01-15,2021-01,2021,881935,88,3,192,2,,,,
Acre,Brazil,44621,835,2021-01-16,2021-01,2021,881935,465,0,245,2,,,,
Acre,Brazil,44767,836,2021-01-17,2021-01,2021,881935,146,1,235,2,,,,
Acre,Brazil,44775,837,2021-01-18,2021-01,2021,881935,8,1,205,2,,,,
Acre,Brazil,45208,839,2021-01-19,2021-01,2021,881935,433,2,254,2,,,,
Acre,Brazil,45429,840,2021-01-20,2021-01,2021,881935,221,1,235,2,,,,
Acre,Brazil,45729,844,2021-01-21,2021-01,2021,881935,300,4,238,2,,,,
Acre,Brazil,45987,846,2021-01-22,2021-01,2021,881935,258,2,262,2,1.627,0.5,stable,downward
Acre,Brazil,46239,848,2021-01-23,2021-01,2021,881935,252,2,232,2,1.669,0.5,stable,downward
Acre,Brazil,46429,850,2021-01-24,2021-01,2021,881935,190,2,238,2,1.535,0.5,stable,downward
Acre,Brazil,46539,854,2021-01-25,2021-01,2021,881935,110,4,252,3,1.432,1.0,stable,upward
Acre,Brazil,46774,856,2021-01-26,2021-01,2021,881935,235,2,224,3,1.237,1.0,stable,upward
Acre,Brazil,47119,858,2021-01-27,2021-01,2021,881935,345,2,242,3,1.204,1.0,stable,upward
Acre,Brazil,47461,860,2021-01-28,2021-01,2021,881935,342,2,248,3,1.088,1.5,upward,stable
Acre,Brazil,47936,861,2021-01-29,2021-01,2021,881935,475,1,279,3,1.453,1.5,stable,stable
Acre,Brazil,48347,864,2021-01-30,2021-01,2021,881935,411,3,302,3,1.232,1.5,stable,stable
Acre,Brazil,48467,867,2021-01-31,2021-01,2021,881935,120,3,292,3,1.242,1.5,stable,stable
Acre,Brazil,48820,873,2021-02-01,2021-02,2021,881935,353,6,326,3,1.59,1.5,stable,stable
Acre,Brazil,49049,876,2021-02-02,2021-02,2021,881935,229,3,325,3,1.279,1.5,stable,stable
Acre,Brazil,49547,879,2021-02-03,2021-02,2021,881935,498,3,347,3,1.477,1.5,stable,stable
Acre,Brazil,49944,882,2021-02-04,2021-02,2021,881935,397,3,355,4,1.491,2.0,stable,stable
Acre,Brazil,50122,884,2021-02-05,2021-02,2021,881935,178,2,313,4,1.194,2.0,stable,stable
Acre,Brazil,50454,886,2021-02-06,2021-02,2021,887777,332,2,301,4,1.298,2.0,stable,stable
Acre,Brazil,50546,888,2021-02-07,2021-02,2021,881935,92,2,297,3,1.248,1.5,stable,stable
Acre,Brazil,50694,893,2021-02-08,2021-02,2021,884517,148,5,268,3,1.063,1.0,upward,upward
Acre,Brazil,51269,900,2021-02-09,2021-02,2021,881935,575,7,318,4,1.42,1.333,stable,stable
Acre,Brazil,51679,902,2021-02-10,2021-02,2021,881935,410,2,305,4,1.261,1.333,stable,stable
Acre,Brazil,52172,907,2021-02-11,2021-02,2021,881935,493,5,319,4,1.286,1.333,stable,stable
Acre,Brazil,52548,910,2021-02-12,2021-02,2021,881935,376,3,347,4,1.244,1.333,stable,stable
Acre,Brazil,52920,917,2021-02-13,2021-02,2021,881935,372,7,353,5,1.169,1.667,stable,stable
Acre,Brazil,53027,921,2021-02-14,2021-02,2021,881935,107,4,355,5,1.216,1.667,stable,stable
Acre,Brazil,53455,931,2021-02-15,2021-02,2021,881935,428,10,395,6,1.212,2.0,stable,stable
Acre,Brazil,53590,932,2021-02-16,2021-02,2021,881935,135,1,332,5,1.021,1.667,upward,stable
Acre,Brazil,53892,940,2021-02-17,2021-02,2021,881935,302,8,317,6,0.9136,2.0,upward,stable
Acre,Brazil,54130,948,2021-02-18,2021-02,2021,881935,238,8,280,6,0.7886,1.5,upward,stable
Acre,Brazil,54562,951,2021-02-19,2021-02,2021,881935,432,3,288,6,0.92,1.5,upward,stable
Acre,Brazil,54743,957,2021-02-20,2021-02,2021,881935,181,6,261,6,0.867,1.5,upward,stable
Acre,Brazil,54786,963,2021-02-21,2021-02,2021,881935,43,6,252,6,0.8486,2.0,upward,stable
Acre,Brazil,54969,968,2021-02-22,2021-02,2021,881935,183,5,217,6,0.8096,2.0,upward,stable
Acre,Brazil,55591,974,2021-02-23,2021-02,2021,881935,622,6,286,6,0.8994,1.5,upward,stable
Acre,Brazil,55881,975,2021-02-24,2021-02,2021,881935,290,1,285,5,0.9346,1.25,upward,stable
Acre,Brazil,56257,982,2021-02-25,2021-02,2021,881935,376,7,304,5,0.953,1.25,upward,stable
Acre,Brazil,56731,986,2021-02-26,2021-02,2021,881935,474,4,310,5,0.8936,1.25,upward,stable
Acre,Brazil,57337,996,2021-02-27,2021-02,2021,881935,606,10,371,6,1.051,1.2,upward,stable
Acre,Brazil,57534,998,2021-02-28,2021-02,2021,881935,197,2,393,5,1.107,1.0,upward,upward
Acre,Brazil,57894,1012,2021-03-01,2021-03,2021,881935,360,14,418,7,1.059,1.167,upward,stable
Acre,Brazil,58081,1020,2021-03-02,2021-03,2021,881935,187,8,356,7,1.072,1.4,upward,stable
