country,population,total,one_shot,two_shots,three_shots,date,month,year,one_shot_perc,two_shots_perc,three_shots_perc
Brazil,215313504,,,,,2021-01-01,2021-01,2021,,,
Brazil,215313504,,,,,2021-01-02,2021-01,2021,,,
Brazil,215313504,,,,,2021-01-03,2021-01,2021,,,
Brazil,215313504,,,,,2021-01-04,2021-01,2021,,,
Brazil,215313504,,,,,2021-01-05,2021-01,2021,,,
Brazil,215313504,,,,,2021-01-06,2021-01,2021,,,
Brazil,215313504,,,,,2021-01-07,2021-01,2021,,,
Brazil,215313504,,,,,2021-01-08,2021-01,2021,,,
Brazil,215313504,,,,,2021-01-09,2021-01,2021,,,
Brazil,215313504,,,,,2021-01-10,2021-01,2021,,,
Brazil,215313504,,,,,2021-01-11,2021-01,2021,,,
Brazil,215313504,,,,,2021-01-12,2021-01,2021,,,
Brazil,215313504,,,,,2021-01-13,2021-01,2021,,,
Brazil,215313504,,,,,2021-01-14,2021-01,2021,,,
Brazil,215313504,,,,,2021-01-15,2021-01,2021,,,
Brazil,215313504,,,,,2021-01-16,2021-01,2021,,,
Brazil,215313504,112,112,,,2021-01-17,2021-01,2021,0.0,,
Brazil,215313504,1109,1109,,,2021-01-18,2021-01,2021,0.0,,
Brazil,215313504,13527,13527,,,2021-01-19,2021-01,2021,0.0,,
Brazil,215313504,105824,105824,,,2021-01-20,2021-01,2021,0.0,,
Brazil,215313504,193699,193699,,,2021-01-21,2021-01,2021,0.0,,
Brazil,215313504,462269,462269,,,2021-01-22,2021-01,2021,0.0,,
Brazil,215313504,573268,573268,,,2021-01-23,2021-01,2021,0.0,,
Brazil,215313504,613954,613954,,,2021-01-24,2021-01,2021,0.0,,
Brazil,215313504,801759,801759,,,2021-01-25,2021-01,2021,0.0,,
Brazil,215313504,1045746,1045746,,,2021-01-26,2021-01,2021,0.0,,
Brazil,215313504,1327546,1327546,,,2021-01-27,2021-01,2021,0.01,,
Brazil,215313504,1563098,1563098,,,2021-01-28,2021-01,2021,0.01,,
Brazil,215313504,1923813,1923813,,,2021-01-29,2021-01,2021,0.01,,
Brazil,215313504,2046523,2046523,,,2021-01-30,2021-01,2021,0.01,,
Brazil,215313504,2084119,2084119,,,2021-01-31,2021-01,2021,0.01,,
Brazil,215313504,2292551,2292551,,,2021-02-01,2021-02,2021,0.01,,
Brazil,215313504,2521704,2521704,,,2021-02-02,2021-02,2021,0.01,,
Brazil,215313504,2802134,2802134,,,2021-02-03,2021-02,2021,0.01,,
Brazil,215313504,3074906,3074906,,,2021-02-04,2021-02,2021,0.01,,
Brazil,215313504,3401383,3399421,1962,,2021-02-05,2021-02,2021,0.02,0.0,
Brazil,215313504,3553681,3534004,19677,,2021-02-06,2021-02,2021,0.02,0.0,
Brazil,215313504,3605538,3579850,25688,,2021-02-07,2021-02,2021,0.02,0.0,
Brazil,215313504,3820207,3786591,33616,,2021-02-08,2021-02,2021,0.02,0.0,
Brazil,215313504,4120332,4069677,50655,,2021-02-09,2021-02,2021,0.02,0.0,
Brazil,215313504,4406835,4326075,80760,,2021-02-10,2021-02,2021,0.02,0.0,
Brazil,215313504,4696136,4586270,109866,,2021-02-11,2021-02,2021,0.02,0.0,
Brazil,215313504,5125206,4946738,178468,,2021-02-12,2021-02,2021,0.02,0.0,
Brazil,215313504,5236943,5042713,194230,,2021-02-13,2021-02,2021,0.02,0.0,
Brazil,215313504,5293979,5076110,217869,,2021-02-14,2021-02,2021,0.02,0.0,
Brazil,215313504,5609937,5324317,285620,,2021-02-15,2021-02,2021,0.02,0.0,
Brazil,215313504,5883539,5326007,557532,,2021-02-16,2021-02,2021,0.02,0.0,
